criterion,solution,score,evidence
scalability,Синхронная транзакция PostgreSQL,4,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
reliability,Синхронная транзакция PostgreSQL,4,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
performance,Синхронная транзакция PostgreSQL,5,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
implementation_complexity,Синхронная транзакция PostgreSQL,4,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
operational_cost,Синхронная транзакция PostgreSQL,4,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
observability,Синхронная транзакция PostgreSQL,3,"синхронная транзакция, нагрузка=1000: p95=1.099 мс, пропускная способность=508.99 запросов/с"
scalability,Transactional Outbox,4,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
reliability,Transactional Outbox,5,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
performance,Transactional Outbox,5,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
implementation_complexity,Transactional Outbox,3,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
operational_cost,Transactional Outbox,3,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
observability,Transactional Outbox,5,"Outbox-транзакция, нагрузка=1000: p95=1.203 мс; остаток=0"
scalability,Inbox и идемпотентность,5,"5 повторов callback -> 4 дубля, итоговый баланс=7"
reliability,Inbox и идемпотентность,5,"5 повторов callback -> 4 дубля, итоговый баланс=7"
performance,Inbox и идемпотентность,5,"5 повторов callback -> 4 дубля, итоговый баланс=7"
implementation_complexity,Inbox и идемпотентность,4,"5 повторов callback -> 4 дубля, итоговый баланс=7"
operational_cost,Inbox и идемпотентность,5,"5 повторов callback -> 4 дубля, итоговый баланс=7"
observability,Inbox и идемпотентность,4,"5 повторов callback -> 4 дубля, итоговый баланс=7"
scalability,Redis Streams,5,"длина журнала=8005, повторно получено=3"
reliability,Redis Streams,5,"длина журнала=8005, повторно получено=3"
performance,Redis Streams,4,"длина журнала=8005, повторно получено=3"
implementation_complexity,Redis Streams,3,"длина журнала=8005, повторно получено=3"
operational_cost,Redis Streams,3,"длина журнала=8005, повторно получено=3"
observability,Redis Streams,5,"длина журнала=8005, повторно получено=3"
scalability,Redis Pub/Sub,5,доставка позднему подписчику=False
reliability,Redis Pub/Sub,2,доставка позднему подписчику=False
performance,Redis Pub/Sub,5,доставка позднему подписчику=False
implementation_complexity,Redis Pub/Sub,5,доставка позднему подписчику=False
operational_cost,Redis Pub/Sub,4,доставка позднему подписчику=False
observability,Redis Pub/Sub,2,доставка позднему подписчику=False
scalability,WebSocket-шлюз,4,WebSocket-восстановление: получено=3
reliability,WebSocket-шлюз,4,WebSocket-восстановление: получено=3
performance,WebSocket-шлюз,4,WebSocket-восстановление: получено=3
implementation_complexity,WebSocket-шлюз,3,WebSocket-восстановление: получено=3
operational_cost,WebSocket-шлюз,3,WebSocket-восстановление: получено=3
observability,WebSocket-шлюз,4,WebSocket-восстановление: получено=3
scalability,Saga-оркестрация,3,"завершено=1, компенсировано=1, p95=23.325 мс"
reliability,Saga-оркестрация,5,"завершено=1, компенсировано=1, p95=23.325 мс"
performance,Saga-оркестрация,3,"завершено=1, компенсировано=1, p95=23.325 мс"
implementation_complexity,Saga-оркестрация,2,"завершено=1, компенсировано=1, p95=23.325 мс"
operational_cost,Saga-оркестрация,2,"завершено=1, компенсировано=1, p95=23.325 мс"
observability,Saga-оркестрация,5,"завершено=1, компенсировано=1, p95=23.325 мс"
scalability,Cache-aside,5,"кэш=100, актуально=150, устарело=True"
reliability,Cache-aside,2,"кэш=100, актуально=150, устарело=True"
performance,Cache-aside,5,"кэш=100, актуально=150, устарело=True"
implementation_complexity,Cache-aside,4,"кэш=100, актуально=150, устарело=True"
operational_cost,Cache-aside,4,"кэш=100, актуально=150, устарело=True"
observability,Cache-aside,3,"кэш=100, актуально=150, устарело=True"
scalability,Чатовая рассылка,4,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
reliability,Чатовая рассылка,4,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
performance,Чатовая рассылка,5,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
implementation_complexity,Чатовая рассылка,4,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
operational_cost,Чатовая рассылка,4,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
observability,Чатовая рассылка,4,"чатовая рассылка, нагрузка=1000: p95=0.875 мс, пропускная способность=599.37 запросов/с, chat_stream_len=8000"
